group (likely analyzer),histogram
HCal DQM / inefficiency,hcal_dqm_bottom/total_energy
HCal DQM / inefficiency,hcal_dqm_bottom/total_pe
HCal DQM / inefficiency,hcal_dqm_bottom/vetoable_hit_multiplicity
HCal DQM / inefficiency,hcal_dqm_left
HCal DQM / inefficiency,hcal_dqm_left/along_x
HCal DQM / inefficiency,hcal_dqm_left/along_y
HCal DQM / inefficiency,hcal_dqm_left/along_z
HCal DQM / inefficiency,hcal_dqm_left/energy
HCal DQM / inefficiency,hcal_dqm_left/hit_multiplicity
HCal DQM / inefficiency,hcal_dqm_left/hit_time
HCal DQM / inefficiency,hcal_dqm_left/hit_z
HCal DQM / inefficiency,hcal_dqm_left/layer
HCal DQM / inefficiency,hcal_dqm_left/layer:strip
HCal DQM / inefficiency,hcal_dqm_left/max_pe
HCal DQM / inefficiency,hcal_dqm_left/max_pe_adc
HCal DQM / inefficiency,hcal_dqm_left/max_pe_adc_time
HCal DQM / inefficiency,hcal_dqm_left/max_pe_time
HCal DQM / inefficiency,hcal_dqm_left/noise
HCal DQM / inefficiency,hcal_dqm_left/pe
HCal DQM / inefficiency,hcal_dqm_left/sim_along_x
HCal DQM / inefficiency,hcal_dqm_left/sim_along_y
HCal DQM / inefficiency,hcal_dqm_left/sim_along_z
HCal DQM / inefficiency,hcal_dqm_left/sim_energy
HCal DQM / inefficiency,hcal_dqm_left/sim_energy_per_bar
HCal DQM / inefficiency,hcal_dqm_left/sim_hit_multiplicity
HCal DQM / inefficiency,hcal_dqm_left/sim_hit_time
HCal DQM / inefficiency,hcal_dqm_left/sim_layer
HCal DQM / inefficiency,hcal_dqm_left/sim_layer:strip
HCal DQM / inefficiency,hcal_dqm_left/sim_num_bars_hit
HCal DQM / inefficiency,hcal_dqm_left/sim_total_energy
HCal DQM / inefficiency,hcal_dqm_left/total_energy
HCal DQM / inefficiency,hcal_dqm_left/total_pe
HCal DQM / inefficiency,hcal_dqm_left/vetoable_hit_multiplicity
HCal DQM / inefficiency,hcal_dqm_right
HCal DQM / inefficiency,hcal_dqm_right/along_x
HCal DQM / inefficiency,hcal_dqm_right/along_y
HCal DQM / inefficiency,hcal_dqm_right/along_z
HCal DQM / inefficiency,hcal_dqm_right/energy
HCal DQM / inefficiency,hcal_dqm_right/hit_multiplicity
HCal DQM / inefficiency,hcal_dqm_right/hit_time
HCal DQM / inefficiency,hcal_dqm_right/hit_z
HCal DQM / inefficiency,hcal_dqm_right/layer
HCal DQM / inefficiency,hcal_dqm_right/layer:strip
HCal DQM / inefficiency,hcal_dqm_right/max_pe
HCal DQM / inefficiency,hcal_dqm_right/max_pe_adc
HCal DQM / inefficiency,hcal_dqm_right/max_pe_adc_time
HCal DQM / inefficiency,hcal_dqm_right/max_pe_time
HCal DQM / inefficiency,hcal_dqm_right/noise
HCal DQM / inefficiency,hcal_dqm_right/pe
HCal DQM / inefficiency,hcal_dqm_right/sim_along_x
HCal DQM / inefficiency,hcal_dqm_right/sim_along_y
HCal DQM / inefficiency,hcal_dqm_right/sim_along_z
HCal DQM / inefficiency,hcal_dqm_right/sim_energy
HCal DQM / inefficiency,hcal_dqm_right/sim_energy_per_bar
HCal DQM / inefficiency,hcal_dqm_right/sim_hit_multiplicity
HCal DQM / inefficiency,hcal_dqm_right/sim_hit_time
HCal DQM / inefficiency,hcal_dqm_right/sim_layer
HCal DQM / inefficiency,hcal_dqm_right/sim_layer:strip
HCal DQM / inefficiency,hcal_dqm_right/sim_num_bars_hit
HCal DQM / inefficiency,hcal_dqm_right/sim_total_energy
HCal DQM / inefficiency,hcal_dqm_right/total_energy
HCal DQM / inefficiency,hcal_dqm_right/total_pe
HCal DQM / inefficiency,hcal_dqm_right/vetoable_hit_multiplicity
HCal DQM / inefficiency,hcal_dqm_top
HCal DQM / inefficiency,hcal_dqm_top/along_x
HCal DQM / inefficiency,hcal_dqm_top/along_y
HCal DQM / inefficiency,hcal_dqm_top/along_z
HCal DQM / inefficiency,hcal_dqm_top/energy
HCal DQM / inefficiency,hcal_dqm_top/hit_multiplicity
HCal DQM / inefficiency,hcal_dqm_top/hit_time
HCal DQM / inefficiency,hcal_dqm_top/hit_z
HCal DQM / inefficiency,hcal_dqm_top/layer
HCal DQM / inefficiency,hcal_dqm_top/layer:strip
HCal DQM / inefficiency,hcal_dqm_top/max_pe
